Dex Entries;;;;;;;;;;;;;;;;;;;
A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.;It can go for days without eating a single morsel. In the bulb on its back, it stores energy.;The bulb-like pouch on its back grows larger as it ages. The pouch is filled with numerous seeds.;The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.;It carries a seed on its back right from birth. As it grows older, the seed also grows larger.;While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.;Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.;There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.;For some time after its birth, it grows by gaining nourishment from the seed on its back.;;;;;;;;;;;
It forms colonies in perpetually dark places and uses ultrasonic waves to identify and approach targets.;It has neither eyes nor a nose. It emits ultrasonic cries that bounce back to its large ears, enabling it to fly safely.;While flying, it constantly emits ultrasonic waves from its mouth to check its surroundings.;During the day, it gathers with others and hangs from the ceilings of old buildings and caves.;Zubat remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned.;Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.;While living in pitch-black caverns, their eyes gradually grew shut and deprived them of vision. They use ultrasonic waves to detect obstacles.;It has no eyes. Instead, it relies on its ultrasonic cries for echolocation to flit about in darkness.;When exposed to sunlight, they suffer burns. The frequency of their ultrasonic waves can differ slightly from colony to colony.;Their skin is so thin that they'll be burned if sunlight hits them. When it gets cold out, they gather together to warm one another's bodies.;Makes its home in gloomy caves. Atrophied eyes have left this Pokémon blind, so it scans its surroundings via sound waves that it emits from its mouth as it flies.;;;;;;;;;
Once it bites, it will not stop draining energy from the victim even if it gets too heavy to fly.;It attacks in a stealthy manner, without warning. Its sharp fangs are used to bite and to suck blood.;Bites its prey and feeds on the victim's energy. Its own blood type changes to that of its victim.;However hard its victim's hide may be, it punctures with sharp fangs and gorges itself with blood.;It can drink more than 10 ounces of blood at once. If it has too much, it gets heavy and flies clumsily.;Golbat bites down on prey with its four fangs and drinks the victim's blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.;It loves the blood of humans and Pokémon. It flies around at night in search of neck veins.;Its thick fangs are hollow like straws, making them unexpectedly fragile. These fangs are specialized for sucking blood.;Sometimes they drink so much blood, they can't fly anymore. Then they fall to the ground and become food for other Pokémon.;Every once in a while, you'll see a Golbat that's missing some fangs. This happens when hunger drives it to try biting a Steel-type Pokémon.;It loves to drink other creatures' blood. It's said that if it finds others of its kind going hungry, it sometimes shares the blood it's gathered.;Its feet are tiny, but this Pokémon walks skillfully. It sneaks up on sleeping prey before sinking in its fangs and slurping up blood.;It sinks its sharp fangs into other creatures and slurps up their blood. A closer look at the fangs reveals that they are hollow and akin to straws.;;;;;;;
During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.;It may be mistaken for a clump of weeds. If you try to yank it out of the ground, it shrieks horribly.;Burrows underground in the day, exposing only its leaves. It is said to scream loudly if anyone tries to yank it out.;Awakened by moonlight, it roams actively at night. In the day, it stays quietly underground.;If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.;During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.;During the daytime, Oddish buries itself in soil to absorb nutrients from the ground using its entire body. The more fertile the soil, the glossier its leaves become.;Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon's feet are thought to change shape and become similar to the roots of trees.;This Pokémon grows by absorbing moonlight. During the daytime, it buries itself in the ground, leaving only its leaves exposed to avoid detection by its enemies.;Its scientific name is 'Oddium Wanderus'. At night, it is said to walk nearly 1,000 feet on its two roots.;;;;;;;;;;
The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.;Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink.;The horrible-smelling pistil of this flower stinks over a mile away. Unwittingly inhaled, it can cause fainting.;What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.;It secretes a sticky, drool-like honey. Although sweet, it smells too repulsive to get very close.;The smell from its drool-like syrup and the pollen on its petals is so bad, it may make opponents faint.;Gloom releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this Pokémon is feeling calm and secure, it does not release its usual stinky aroma.;From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.;A horribly noxious honey drools from its mouth. One whiff of the honey can result in memory loss. Some fans are said to enjoy this overwhelming stink, however.;Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.;;;;;;;;;;
The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.;Flaps its broad flower petals to scatter its poisonous pollen. The flapping sound is very loud.;Scatters allergy-causing pollen from its broad petals. The larger the petals, the more pollen is scattered.;It has the world's largest petals. With every step, the petals shake out heavy clouds of toxic pollen.;The bud bursts into bloom with a bang. It then starts scattering allergenic, poisonous pollen.;By shaking its big petals, it scatters toxic pollen into the air, turning the air yellow.;Vileplume's toxic pollen triggers atrocious allergy attacks. That's why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be.;Vileplume has the world's largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.;In seasons when it produces more pollen, the air around a Vileplume turns yellow with the powder as it walks. The pollen is highly toxic and causes paralysis.;;;;;;;;;;;
Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.;It is doused with mushroom spores when it is born. As its body grows, mushrooms sprout from its back.;As its body grows, large mushrooms named tochukaso start sprouting out of its back.;The tochukaso growing on this Pokémon's back orders it to extract juice from tree trunks.;Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.;No matter how much it eats, the mushrooms growing on its back steal away most of the nutrients it consumes.;Mushrooms called tochukaso sprout from its back. They can be dried and powdered to make a medicine used to extend life.;Whether it's due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don't grow up quite right.;The mushrooms, known as tochukaso, are controlling the bug. Even if the bug bugs the mushrooms, they tell it to bug off.;Sometimes seen at the foot of trees in humid forests. The mushrooms on its back—called tochukaso—are not present on infant specimens and instead emerge as Paras matures.;;;;;;;;;;
A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.;The bug host is drained of energy by the mushrooms on its back. The mushroom appears to do all the thinking.;It stays mostly in dark, damp places, the preference not of the bug, but of the big mushrooms on its back.;The larger the mushroom on its back grows, the stronger the mushroom spores it scatters.;When nothing's left to extract from the bug, the mushrooms on its back leave spores on the bug's egg.;Parasect are known to infest the roots of large trees en masse and drain nutrients. When an infested tree dies, they move onto another tree all at once.;A mushroom grown larger than the host's body controls Parasect. It scatters poisonous spores.;The large mushroom on its back controls it. It often fights over territory with <<0756shii>>.;It scatters toxic spores from its mushroom cap. Once harvested, these spores can be steeped and boiled down to prepare herbal medicines.;The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving.;Its poisonous spores are also used in traditional medicine. Apparently, spores produced in Alola are not of very good quality.;Mushroom-lacking specimens of this Pokémon lie unmoving in the forest, lending credence to the hypothesis that the large mushroom is in control of Parasect's actions.;;;;;;;;
Lives in the shadows of tall trees where it eats bugs. It is attracted by light at night.;Its large eyes act as a radar. In a bright place, you can see that they are clusters of many tiny eyes.;Uses its large, radar-like eyes to move around in darkness. It is instinctively attracted to light.;Its eyes also function as radar units. It catches and eats small bugs that hide in darkness.;Poison oozes from all over its body. It catches and eats small bugs at night that are attracted by light.;The small bugs it eats appear only at night, so it sleeps in a hole in a tree until night falls.;Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even miniscule prey.;Its eyes act as radar, enabling it to be active in darkness. The eyes can also shoot powerful beams.;;;;;;;;;;;;
The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.;The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.;The powder on its wings is poisonous. It scatters the powder with every flap, so you may be poisoned if you are downwind.;When it attacks, it flaps its large wings violently to scatter its poisonous powder all around.;The powder on its wings is poisonous if it is dark in hue. If it is light in hue, it causes paralysis.;The scales it scatters will paralyze anyone who touches them, making that person unable to stand.;Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.;;;;;;;;;;;;;
Lives about one yard underground where it feeds on plant roots. It sometimes appears aboveground.;It prefers dark places. It spends most of its time underground, though it may pop up in caves.;Its head pokes up approximately eight inches out of the ground. However, its real size remains a mystery to this day.;Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak.;If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops.;It digs underground and chews on tree roots, sticking its head out only when the sun isn't bright.;Diglett are raised in most farms. The reason is simple — wherever they burrow, the soil is left perfectly tilled for growing delicious crops.;It burrows through the ground at a shallow depth. It leaves raised earth in its wake, making it easy to spot.;A Pokémon that lives underground. Because of its dark habitat, it is repelled by bright sunlight.;It chews on plant roots underground. Farmers whose vegetables are vulnerable find it can be quite a pest.;Many farmers cherish and nurture Diglett because its droppings enrich the soil it lives in.;It travels through tunnels that it digs underground. It hates sunlight, so it comes out only after the sun goes down.;Around their crops, farmers plant the kind of tree that Diglett like to eat as a way of getting Diglett to plow the fields for them.;;;;;;;
Its head sports an altered form of whiskers made of metal. When in communication with its comrades, its whiskers wobble to and fro.;Its golden hairs function as sensors. It pokes them out of its burrow to monitor its surroundings.;Although it's powerful enough to dig right through volcanic rock, it doesn't allow itself to be seen very often.;The need to dig through volcanic rock in the ground has made them more powerful than the Diglett of other regions.;After living in soil with high iron content for some time, three steel whiskers sprouted from the top of its head.;The metal-rich geology of this Pokémon's habitat caused it to develop steel whiskers on its head.;Its three hairs change shape depending on Diglett's mood. They're a useful communication tool among these Pokémon.;;;;;;;;;;;;;
<<0050digl>> triplets that always travel together. Known to burrow more than 60 miles underground and trigger quakes.;A team of triplets that can burrow over 60 MPH. Due to this, some people think it's an earthquake.;Its three heads bob separately up and down to loosen the soil nearby, making it easier for it to burrow.;Extremely powerful, they can dig through even the hardest ground to a depth of over 60 miles.;These <<0050digl>> triplets dig over 60 miles below sea level. No one knows what it's like underground.;Because the triplets originally split from one body, they think exactly alike. They work cooperatively to burrow endlessly through the ground.;In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction.;Its three heads move alternately, driving it through tough soil to depths of over 60 miles.;This set of triplets moves cooperatively. It's the power of teamwork that enables this Pokémon to dig to a depth of 60 miles.;Despite the closeness between this Pokémon and farmers and other people, no one has ever seen the parts of it concealed underground.;While the three of them normally get along splendidly, on rare occasions a huge fight will break out over which head gets to eat first.;Dugtrio's heads are sleek and smooth and incredibly hard. It can dig through any soil with its headbutts.;;;;;;;;
Its shining gold hair provides it with protection. It's reputed that keeping any of its fallen hairs will bring bad luck.;These Pokémon are cherished in the Alola region, where they are thought to be feminine deities of the land incarnate.;Its metallic whiskers are heavy, so it's not very fast, but it has the power to dig through bedrock.;Its shining gold whiskers are advanced sensors that can detect vibrations from sounds several miles away.;They're referred to as triplets, but they're not identical–the metallic elements in their bodies differ slightly. The proof shows in their whiskers!;Their beautiful, metallic whiskers create a sort of protective helmet on their heads, and they also function as highly precise sensors.;The three of them get along very well. Through their formidable teamwork, they defeat powerful opponents.;;;;;;;;;;;;;
Adores round objects. It wanders the streets on a nightly basis to look for dropped loose change.;Appears to be more active at night. It loves round and shiny things. It can't stop itself from picking them up.;Sleeps in the daytime. At night, its eyes glow as it happily collects coins, its favorite things.;It is fascinated with round objects. It can't stop playing with them until it tires and falls asleep.;It loves anything that shines. It especially adores coins that it picks up and secretly hoards.;It loves things that sparkle. When it sees a shiny object, the gold coin on its head shines too.;Meowth withdraw their sharp claws into their paws to silently sneak about. For some reason, this Pokémon loves shiny coins that glitter with light.;All it does is sleep during the daytime. At night, it patrols its territory with its eyes aglow.;It is nocturnal in nature. If it spots something shiny, its eyes glitter brightly.;It lies around all day, becoming active near dusk. At night, it wanders the city in search of loose change.;It loves shiny things. It often fights with <<0198murk>> over prey they're both trying to catch.;When visiting a junkyard, you may catch sight of it having an intense fight with <<0198murk>> over shiny objects.;It loves coins, so if you give it one, you can make friends with Meowth easily. But it's fickle, so you can't count on that friendship lasting.;It loves to collect shiny things. If it's in a good mood, it might even let its Trainer have a look at its hoard of treasures.;It washes its face regularly to keep the coin on its forehead spotless. It doesn't get along with Galarian Meowth.;;;;;
This Pokémon was not originally found in Alola. Human actions caused a surge in their numbers, and they went feral. They're prideful and crafty.;When its delicate pride is wounded, or when the gold coin on its forehead is dirtied, it flies into a hysterical rage.;It's impulsive, selfish, and fickle. It's very popular with some Trainers who like giving it the attention it needs.;A royal house that flourished in the distant past brought it here from another region. Meowth is both selfish and prideful.;Highly intelligent and prideful, it's famously difficult to handle–but that's also a reason for its popularity.;It's accustomed to luxury because it used to live with Alolan royalty. As a result, it's very picky about food.;Deeply proud and keenly smart, this Pokémon moves with cunning during battle and relentlessly attacks enemies' weak points.;;;;;;;;;;;;;
Living with a savage, seafaring people has toughened this Pokémon's body so much that parts of it have turned to iron.;These daring Pokémon have coins on their foreheads. Darker coins are harder, and harder coins garner more respect among Meowth.;;;;;;;;;;;;;;;;;;
Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.;The gem in its forehead glows on its own! It walks with all the grace and elegance of a proud queen.;It is highly regarded as a pet for its beautiful fur. However, it is extremely temperamental and difficult to keep.;Many adore it for its sophisticated air. However, it will lash out and scratch for little reason.;Its lithe muscles allow it to walk without making a sound. It attacks in an instant.;Behind its lithe, elegant appearance lies a barbaric side. It will tear apart its prey on a mere whim.;A Persian's six bold whiskers sense air movements to determine what is in its vicinity. It becomes docile if grabbed by the whiskers.;Has a vicious temperament. Beware if it raises its tail straight up. It is a signal that it is about to pounce and bite.;A very haughty Pokémon. Among fans, the size of the jewel in its forehead is a topic of much talk.;It has a violent temperament. It will attack anything that looks it in the eye. Its sharp claws inflict deep wounds.;It has a high opinion of itself, although not to the same extent as the Alolan Persian. It's quite difficult to make friends with this Pokémon.;Although the jewel on its forehead appears to be a different color than those of Alolan Persian, it's mostly made of the same material.;This Pokémon is popular with rich people. It's also targeted by hunters who are after the jewel in its forehead.;Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed.;Its elegant and refined behavior clashes with that of the barbaric <<0863perr>>. The relationship between the two is one of mutual disdain.;;;;;
Its round face and smooth coat—softer than the most high-class velvet—have made this a very popular Pokémon in Alola.;It looks down on everyone other than itself. Its preferred tactics are sucker punches and blindside attacks.;In contrast to its lovely face, it's so brutal that it tortures its weakened prey rather than finishing them off.;Its round face is a symbol of wealth. Persian that have bigger, plumper faces are considered more beautiful.;It has the classiest coat. The rippling of its fur in the heat of battle has a beauty all its own.;The round face of Alolan Persian is considered to be a symbol of prosperity in the Alola region, so these Pokémon are very well cared for.;This Pokémon is one tough opponent. Not only does it have formidable physical abilities, but it's also not above fighting dirty.;;;;;;;;;;;;;
Always tormented by headaches. It uses psychic powers, but whether it intends to do so is not known.;Appears unaware and totally vacant. However, if its chronic headache worsens, it starts exhibiting peculiar powers.;When its headache intensifies, it starts using strange powers. However, it has no recollection of its powers, so it always looks befuddled and bewildered.;The only time it can use its psychic power is when its sleeping brain cells happen to wake.;Psyduck uses a mysterious power. When it does so, this Pokémon generates brain waves that are supposedly only seen in sleepers. This discovery spurred controversy among scholars.;If it uses its mysterious power, Psyduck can't remember having done so. It apparently can't form a memory of such an event because it goes into an altered state that is much like deep sleep.;When headaches stimulate its brain cells, which are usually inactive, it can use a mysterious power.;This Pokémon is troubled by constant headaches. The more pain it's in, the more powerful its psychokinesis becomes.;Using psychokinesis gives it a headache, so it normally passes the time spacing out and doing as little as possible.;Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while.;Suffers perpetual headaches. If the agony grows too great, Psyduck's latent power erupts, contrary to Psyduck's intent. Ergo, I am exploring ways to ease the pain.;;;;;;;;;
Its long, slim limbs end in broad flippers. They are used for swimming gracefully in lakes.;Its webbed hands and feet make it a proficient swimmer. May be seen swimming elegantly at dusk in places like lakes.;When it swims at full speed using its long, webbed limbs, its forehead somehow begins to glow.;It appears by waterways at dusk. It may use telekinetic powers if its forehead glows mysteriously.;It swims gracefully along on the quiet, slow-moving rivers and lakes of which it is so fond.;The webbed flippers on its forelegs and hind legs and the streamlined body of Golduck give it frightening speed. The Pokémon is definitely much faster than even the most athletic swimmer.;Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.;A Golduck is an adept swimmer. It sometimes joins competitive swimmers in training. It uses psychic powers when its forehead shimmers with light.;It is said that the red part of its forehead grants supernatural powers to those who possess one, so it was over-hunted in the past.;It swims along the banks of lakes and catches fish Pokémon. It takes them to the shore and quietly eats them up.;Even fast-swimming fish Pokémon can be disabled by Golduck. It brings them to a standstill and seizes them.;A professional swimmer, it can continue swimming for two days straight by waving its long tail skillfully.;Old tales tell of Golduck punishing those that defiled its river. The guilty were dragged into the water and taken away.;Its body is strong, and it has webbing on its hands and feet. Golduck can swim easily through rough seas, clawing its way through the high waves.;;;;;;
Extremely quick to anger. It could be docile one moment then thrashing away the next instant.;An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.;Quick to anger, it will begin brawling on the slightest provocation. It is unsafe to approach as it is very nimble.;It is extremely ill-tempered. Groups of them will attack any handy target for no reason.;It's unsafe to approach if it gets violently enraged for no reason and can't distinguish friends from foes.;It lives in groups in the treetops. If it loses sight of its group, it becomes infuriated by its loneliness.;When it starts shaking and its nasal breathing turns rough, it's a sure sign of anger. However, since this happens instantly, there is no time to flee.;Light and agile on its feet, and ferocious in temperament. When angered, it flies into an uncontrollable frenzy.;It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason.;It can spontaneously become enraged. Everyone near it clears out as it rampages and the resulting loneliness makes it angrier still.;Its raging tires it out and causes it to fall asleep, but the anger resonating in its dreams causes it to wake up—which infuriates it all over again.;The smallest of things could cause it to lose its temper. Because it doesn't hold in its stress, this Pokémon can live a long time.;If one gets angry, all the others around it will get angry, so silence is a rare visitor in a troop of Mankey.;;;;;;;
Always furious and tenacious to boot. It will not abandon chasing its quarry until it catches up.;It stops being angry only when nobody else is around. To view this moment is very difficult.;When enraged, it gives chase endlessly. Because it is impossible to tell what made it angry, there is no soothing it.;If approached while asleep, it may awaken and angrily give chase in a groggy state of semi-sleep.;It becomes wildly furious if it even senses someone looking at it. It chases anyone that meets its glare.;It will beat up anyone who makes it mad, even if it has to chase them until the end of the world.;When it becomes furious, its blood circulation becomes more robust, and its muscles are made stronger. But it also becomes much less intelligent.;It grows angry if you see its eyes and gets angrier if you run. If you beat it, it gets even madder.;It has been known to become so angry that it dies as a result. Its face looks peaceful in death, however.;Some researchers theorize that Primeape remains angry even when inside a Poké Ball.;It will never forgive opponents who have angered it. Even after it has beaten them down until they can't move, it never ever forgives.;The blood vessels in its brain are sturdier than those of other Pokémon, so it can stay healthy despite its constant raging.;;;;;;;;
Very protective of its territory. It will bark and bite to repel intruders from its space.;Friendly and loyal, but also jealously protective of its territory. Carelessly approaching it may result in a bite.;It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.;Extremely loyal to its Trainer, it will bark at those who approach the Trainer unexpectedly and run them out of town.;It controls a big territory. If it detects an unknown smell, it roars loudly to force out the intruder.;Its superb sense of smell ensures that this Pokémon won't forget any scent, no matter what. It uses its sense of smell to detect the emotions of others.;A Pokémon with a loyal nature. It will remain motionless until it is given an order by its Trainer.;It looks cute, but when you approach another Trainer's Growlithe, it will bark at you and bite.;While it's quite friendly toward humans once it's grown used to them, in the wild it must be quite fierce to defend its territory from <<0744rock>>.;It has lived alongside humans since ages ago. Its bones have been found in excavations of ruins from the Stone Age.;;;;;;;;;;
They patrol their territory in pairs. I believe the igneous rock components in the fur of this species are the result of volcanic activity in its habitat.;;;;;;;;;;;;;;;;;;;
A Pokémon that has long been admired for its beauty. It runs agilely as if on wings.;Its magnificent bark conveys a sense of majesty. Anyone hearing it can't help but grovel before it.;An ancient picture scroll shows that people were attracted to its movement as it ran through prairies.;This fleet-footed Pokémon is said to run over 6,200 miles in a single day and night. The fire that blazes wildly within its body is its source of power.;Its proud and regal appearance has captured the hearts of people since long ago.;Overflowing with beauty and majesty, this strong Pokémon appears in ancient Eastern folklore.;The fire burning inside its body serves as the energy to fuel it as it runs great distances. It appears in many legends.;Legends tell of its fighting alongside a general and conquering a whole country.;There are so many old tales about them that they're called legendary Pokémon, but there are way more of them around than you'd expect.;A legendary Pokémon in the East. Many people are charmed by the grace and beauty of its running.;;;;;;;;;;
Snaps at its foes with fangs cloaked in blazing flame. Despite its bulk, it deftly feints every which way, leading opponents on a deceptively merry chase as it all but dances around them.;;;;;;;;;;;;;;;;;;;
Its newly grown legs prevent it from walking well. It appears to prefer swimming over walking.;The direction of its belly spiral differs by area. The equator is thought to have an effect on this.;The swirl on its belly is its insides showing through the skin. It looks clearer after it eats.;It is possible to see this Pokémon's spiral innards right through its thin skin. However, the skin is also very flexible. Even sharp fangs bounce right off it.;Its slick black skin is thin and damp. A part of its internal organs can be seen through the skin as a spiral pattern.;The swirl on its belly is its internal organs showing through. If the swirl is tinged white, that means it's affected by some disease.;It's still not very good at walking. Its Trainers should train this Pokémon to walk every day.;Despite the danger, it wants to come up on land. So it does its best to waddle along, but when an enemy finds it, it rushes back to the water.;The direction of the swirl on their stomachs differs depending on where they live. Poliwag aficionados can tell them apart at a glance.;In rivers with fast-flowing water, this Pokémon will cling to a rock by using its thick lips, which act like a suction cup.;;;;;;;;;;
Capable of living on land, but prefers to stay in water. If it is out of water, it sweats to keep its skin moist.;Under attack, it uses its belly spiral to put the foe to sleep. It then makes its escape.;The spiral pattern on its belly subtly undulates. Staring at it gradually causes drowsiness.;The skin on most of its body is moist. However, the skin on its belly spiral feels smooth.;Although it can live on land, it prefers to stay in the water, where it has fewer natural enemies.;Its body surface is always wet and slick with an oily fluid. Because of this greasy covering, it can easily slip and slide out of the clutches of any enemy in battle.;Its two legs are well developed. Even though it can live on the ground, it prefers living in water.;It marches over the land in search of bug Pokémon to eat. Then it takes them underwater so it can dine on them where it's safe.;Although it has become capable of living on land, it spends its time in the water, where its prey, fish Pokémon, are plentiful.;Its health suffers when its skin dries out, so be sure to moisturize it diligently.;Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl's has been used in place of lullabies to get children to go to sleep.;This Pokémon's sweat is a slimy mucus. When captured, Poliwhirl can slither from its enemies' grasp and escape.;;;;;;;;
An adept swimmer, it knows the front crawl, butterfly, and more. It is faster than the best human swimmers.;Swims powerfully using all the muscles in its body. It can even overtake world-class swimmers.;A strong swimmer, it is faster than a human champ in an individual medley. It can go far and fast with minimal breathing.;With its extremely tough muscles, it can keep swimming in the Pacific Ocean without resting.;Although an energetic, skilled swimmer that uses all of its muscles, it lives on dry land.;It can use its well-developed arms and legs to run on the surface of the water for a split second.;Its highly developed muscles never grow fatigued, however much it exercises. This Pokémon can swim back and forth across the Pacific Ocean without effort.;Poliwrath in the Alola region are strong swimmers that use the breaststroke. Many children learn to swim by imitating Poliwrath.;Its percentage of body fat is nearly zero. Its body is entirely muscle, which makes it heavy and forces its swimming prowess to develop.;The muscles it has developed through swimming are thick and powerful. When it lands a square punch, it can turn huge boulders to dust.;Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward.;Poliwrath is skilled at both swimming and martial arts. It uses its well-trained arms to dish out powerful punches.;;;;;;;;
Using its ability to read minds, it will sense impending danger and Teleport to safety.;Sleeps 18 hours a day. If it senses danger, it will teleport itself to safety even as it sleeps.;It hypnotizes itself so that it can teleport away when it senses danger, even if it is asleep.;If it decides to teleport randomly, it evokes the illusion that it has created copies of itself.;Abra needs to sleep for eighteen hours a day. If it doesn't, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.;A Pokémon that sleeps 18 hours a day. Observation revealed that it uses Teleport to change its location once every hour.;It sleeps for 18 hours a day. It uses a variety of extrasensory powers even while asleep.;It sleeps for 18 hours a day. Even when awake, it teleports itself while remaining seated.;It sleeps 18 hours a day. Even while sleeping, it will teleport itself to treetops and pick and eat berries there.;It can teleport itself to safety while it's asleep, but when it wakes, it doesn't know where it is, so it panics.;It uses various psychic powers even while it's sleeping, so you can't tell whether or not it's awake.;It can read others' minds and will teleport away when danger approaches. You must clear your mind if you want to catch it.;This Pokémon uses its psychic powers while it sleeps. The contents of Abra's dreams affect the powers that the Pokémon wields.;Abra can teleport in its sleep. Apparently the more deeply Abra sleeps, the farther its teleportations go.;Spends 18 hours of the day sleeping. Even while asleep, Abra can control its psychic powers—should danger approach, the Pokémon will simply teleport away.;;;;;
It emits special alpha waves from its body that induce headaches just by being close.;Many odd things happen if this Pokémon is close by. For example, it makes clocks run backward.;When it uses psychic power, all its brain cells work in unison to generate powerful alpha waves.;It possesses strong spiritual power. The more danger it faces, the stronger its psychic power.;When it uses its psychic power, it emits strong alpha waves that can ruin precision devices.;When it closes its eyes, twice as many alpha particles come out of the surface of its body.;Kadabra emits a peculiar alpha wave if it develops a headache. Only those people with a particularly strong psyche can hope to become a Trainer of this Pokémon.;Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers.;It is rumored that a boy with psychic abilities suddenly transformed into Kadabra while he was assisting research into extrasensory powers.;If one is nearby, an eerie shadow appears on TV screens. Seeing the shadow is said to bring bad luck.;It stares at a silver spoon to amplify its psychic powers before it lets loose. Apparently, gold spoons are no good.;Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow.;This Pokémon's telekinesis is immensely powerful. To prepare for evolution, Kadabra stores up psychic energy in the star on its forehead.;There are rumors that a child with mystical powers became a Kadabra— however, this remains unverified. I suspect that the spoon Kadabra holds enhances its brain waves.;;;;;;
Its brain can outperform a supercomputer. Its IQ (intelligence quotient) is said to be around 5,000.;Its superb memory lets it recall everything it has experienced from birth. Its IQ exceeds 5,000.;A Pokémon that uses psychic power. It is highly intelligent and capable of instantly identifying its foe's weakness.;Closing both its eyes heightens all its other senses. This enables it to use its abilities to their extremes.;Its brain cells continue to increase in number until its death. The older the Alakazam, the larger its head.;Alakazam's brain continually grows, making its head far too heavy to support with its neck. This Pokémon holds its head up using its psychokinetic power instead.;Alakazam's brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.;While it has strong psychic abilities and high intelligence, an Alakazam's muscles are very weak. It uses psychic power to move its body.;It does not like physical attacks very much. Instead, it freely uses extra-sensory powers to defeat foes.;Alakazam uses its psychic powers to make the spoons it carries. Each spoon is an original that there's only one of in the whole world.;It is said to have an IQ of approximately 5,000. Its overflowing psychokinetic powers cause headaches to anyone nearby.;If it trusts someone deeply, it will let them have one of its spoons. Anything you eat with that spoon is apparently delicious.;The longer Alakazam lives, the larger and heavier its head becomes. Our tests have shown that the strength of its psychic powers correlates positively to the weight of its head.;;;;;;;
